id,full_name,email,password,role,phone_number,address
1,Kitty Docraftsnotdrugs,kitty.docrafts@cth-store.com,pass123,SUPER_ADMIN,,
2,Ron Pleaseandthankyou,ron.please@cth-store.com,pass123,SUPER_ADMIN,,
3,Perry Wrongwrongwrong,perry.wrong@cth-store.com,pass123,SUPER_ADMIN,,
4,Abed Coolcoolcool,abed.cool@cth-store.com,pass123,SUPER_ADMIN,,
5,Jason Iwaspresuccessful,jason.iwas@cth-store.com,pass123,SUPER_ADMIN,,
6,Morewilliam Knifemannow,morewilliam.knife@cth-store.com,pass123,SUPER_ADMIN,,
7,Melking Notapathologist,melking.not@cth-store.com,pass123,SUPER_ADMIN,,
8,Nandor Creepypaper,nandor.creepypaper@cth-store.com,pass123,SUPER_ADMIN,,
9,Erica Justthefacts,erica.facts@cth-store.com,pass123,SUPER_ADMIN,,
10,Turbobaba Isluffyunhinged,turbobaba.unhinged@cth-store.com,pass123,SUPER_ADMIN,,
11,Bailey Ihavefiverules,bailey.rules@cth-store.com,pass123,SUPER_ADMIN,,
12,Rosa Lookatthebunny,rosa.bunny@cth-store.com,pass123,SUPER_ADMIN,,
13,Steve Makinen,steve.makinen@cth-store.com,pass123,STORE_MANAGER,,
14,Uyen Lefebvre,uyen.lefebvre@cth-store.com,pass123,STORE_MANAGER,,
15,Dustin Okpik,dustin.okpik@cth-store.com,pass123,STORE_MANAGER,,
16,Ava Virtanen,ava.virtanen@cth-store.com,pass123,STORE_MANAGER,,
17,Suranne Ituarte,suranne.ituarte@cth-store.com,pass123,STORE_MANAGER,,
18,Sujin O'Malley,sujin.omalley@cth-store.com,pass123,STORE_MANAGER,,
19,Akira Van Dijk,akira.vandijk@cth-store.com,pass123,STORE_MANAGER,,
20,Eddie Qamaniq,eddie.qamaniq@cth-store.com,pass123,WAREHOUSE_STAFF,,
21,Wucy Nieminen,wucy.nieminen@cth-store.com,pass123,WAREHOUSE_STAFF,,
22,Ashra Dubois,ashra.dubois@cth-store.com,pass123,WAREHOUSE_STAFF,,
23,Seokjin Lindholm,seokjin.lindholm@cth-store.com,pass123,WAREHOUSE_STAFF,,
24,Fern Kowalski,fern.kowalski@cth-store.com,pass123,WAREHOUSE_STAFF,,
25,Trevor Tanaka,trevor.tanaka@cth-store.com,pass123,WAREHOUSE_STAFF,,
26,Fergus Angotiguluk,fergus.angotiguluk@cth-store.com,pass123,WAREHOUSE_STAFF,,
27,Safiya Heikkinen,safiya.heikkinen@cth-store.com,pass123,SUPPORT_AGENT,,
28,Barnabus Kato,barnabus.kato@cth-store.com,pass123,SUPPORT_AGENT,,
29,Sunisa Rossi,sunisa.rossi@cth-store.com,pass123,SUPPORT_AGENT,,
30,Moe Korhonen,moe.korhonen@cth-store.com,pass123,SUPPORT_AGENT,,
31,Taylor Aglukkaq,taylor.aglukkaq@cth-store.com,pass123,SUPPORT_AGENT,,
32,Yoongi Bernard,yoongi.bernard@cth-store.com,pass123,SUPPORT_AGENT,,
33,Susie Laine,susie.laine@cth-store.com,pass123,SUPPORT_AGENT,,
34,Sandra Poutanen,sandra.poutanen@cth-store.com,pass123,AUDITOR,,
35,Taehyung Koskinen,taehyung.koskinen@cth-store.com,pass123,AUDITOR,,
36,Austin Leclair,austin.leclair@cth-store.com,pass123,AUDITOR,,
37,Barbara Nanook,barbara.nanook@cth-store.com,pass123,AUDITOR,,
38,Suzuka Larsson,suzuka.larsson@cth-store.com,pass123,AUDITOR,,
