id,customer_email,order_date,status,total_amount,currency,shipping_address
1000,lucy.m@gmail.com,6/25/25 15:58,DELIVERED,311.89,GBP,"221B Baker St, London, NW1 6XE, UK"
1001,keanu.p@yahoo.com,7/28/25 1:16,DELIVERED,24.32,EUR,"Mannerheimintie 15, 00100 Helsinki, Finland"
1002,brian.d@hotmail.com,2/4/25 12:28,DELIVERED,75.65,CAD,"1010 Rue Catherine, Montreal, QC H3B 1E7, Canada"
1003,tom.s@gmail.com,4/18/25 20:53,DELIVERED,277.24,EUR,"Aleksanterinkatu 52, 00100 Helsinki, Finland"
1004,jason.s@protonmail.com,1/26/25 21:05,DELIVERED,260.36,CAD,"123 Arctic Circle, Iqaluit, NU X0A 0H0, Canada"
1005,alice.t@gmail.com,1/22/25 9:44,DELIVERED,76.32,EUR,"10 Rue de la Paix, 75002 Paris, France"
1006,sunisa.a@gmail.com,10/14/25 20:25,DELIVERED,136.95,EUR,"Hämeenkatu 10, 33100 Tampere, Finland"
1007,sydney.t@gmail.com,1/28/25 11:15,DELIVERED,4200,JPY,"1-2-3 Shiba Koen, Minato-ku, Tokyo 105-0011, Japan"
1008,marcus.a@yahoo.com,3/5/25 16:44,DELIVERED,232.8,USD,"450 W 33rd St, New York, NY 10001, USA"
1009,nikki.n@hotmail.com,3/10/25 13:21,DELIVERED,138.05,USD,"10880 Wilshire Blvd, Los Angeles, CA 90024, USA"
1010,ozzie.e@protonmail.com,3/25/25 15:51,DELIVERED,54.65,USD,"88 Colin P Kelly Jr St, San Francisco, CA 94107, USA"
1011,janine.g@icloud.com,4/11/25 10:14,DELIVERED,229.33,USD,"233 S Wacker Dr, Chicago, IL 60606, USA"
1012,gregory.b@gmail.com,4/18/25 19:04,DELIVERED,129.3,USD,"1600 Pennsylvania Avenue NW, Washington, DC 20500, USA"
1013,willie.b@me.com,4/21/25 21:05,DELIVERED,31.48,USD,"716 W 4th Ave, Anchorage, AK 99501, USA"
1014,cheese.m@gmail.com,5/5/25 14:21,DELIVERED,54.94,USD,"201 E Washington St, Phoenix, AZ 85004, USA"
1015,momo.h@yahoo.com,5/12/25 17:34,DELIVERED,4200,JPY,"3-1-1 Umeda, Kita-ku, Osaka 530-0001, Japan"
1016,helly.s@outlook.com,5/22/25 11:41,DELIVERED,194.22,USD,"2100 NW 42nd Ave, Miami, FL 33142, USA"
1017,irving.j@gmail.com,6/5/25 13:16,DELIVERED,253,USD,"335 Adams St, Brooklyn, NY 11201, USA"
1018,capheus.s@hotmail.com,6/15/25 15:21,DELIVERED,55.14,USD,"Harambee Ave, Nairobi, Kenya"
1019,lito.h@protonmail.com,6/25/25 18:33,DELIVERED,152.85,USD,"Av. Paseo de la Reforma 50, Mexico City, Mexico"
1020,nomi.o@gmail.com,7/8/25 10:14,DELIVERED,62.49,USD,"Casto St, San Francisco, CA 94114, USA"
1021,wolfgang.k@icloud.com,7/20/25 16:41,DELIVERED,48.81,EUR,"Potsdamer Platz 1, 10785 Berlin, Germany"
1022,riley.g@gmail.com,8/1/25 13:14,DELIVERED,344.61,USD,"Laugavegur 1, 101 Reykjavík, Iceland"
